"","name","test_type","test_stat","p_value"
"1","E34_vs_E33","t(17948)",1.02478543437691,0.305478252049166
"2","E44_vs_E34","t(17948)",-1.29906644884026,0.193937813791261
"3","E44_vs_E33","t(17948)",-0.735856438662449,0.461827686212137
"4","E33_HmL","t(17948)",31.1705886445366,8.91921944279377e-208
"5","E34_HmL","t(17948)",31.8363425748187,2.04307968449089e-216
"6","E44_HmL","t(17948)",13.9784488473336,3.59754663013903e-44
"7","E34HmL_vs_E33HmL","t(17948)",0.95954831397414,0.337295518482155
"8","E44HmL_vs_E34HmL","t(17948)",0.372454340085554,0.709558999497782
"9","E44HmL_vs_E33HmL","t(17948)",0.901904728144797,0.367119582298858
