"","name","post_mean","post_medi","post_025","post_975"
"50%","Ambi",0.92362071669348,0.923661756514306,0.871584677706849,0.975871400540133
"50%1","E4",0.152713775966873,0.152504395545619,-0.0696733532424944,0.376401029740271
"50%2","AmbiE4",0.0257797302670492,0.0259863423595876,-0.0222216590697498,0.0733323317782911
"50%3","Age",0.449385364713739,0.449019794943682,0.108987957521065,0.794907174336858
"50%4","AmbiAge",0.0389899304866887,0.0390833343975908,-0.0186288982706297,0.0968020108787069
"50%5","E4Age",0.304115280627761,0.304306519817149,0.000606082603102126,0.607640977165007
"50%6","AmbiE4Age",0.0295405975010925,0.0295862798053007,-0.025284727569867,0.0838087107108083
