"","name","post_mean","post_medi","post_025","post_975"
"50%","Ambi",0.604420215778493,0.604472716959688,0.578435078154895,0.630184855225613
"50%1","E4",-0.0131332543591708,-0.0130385913830533,-0.13328076755008,0.106509471172723
"50%2","AmbiE4",0.0102764836118417,0.0102875817885248,-0.00902133497072701,0.029548141503896
"50%3","Age",0.48386433875827,0.483884482926899,0.323317926317885,0.644194585096918
"50%4","AmbiAge",0.041538533536298,0.0415306544173542,0.0158225008507068,0.0671216622659565
"50%5","E4Age",0.121628261802945,0.1217898738435,-0.0038818051406308,0.246178719718401
"50%6","AmbiE4Age",-0.0109349583579278,-0.0109118614155309,-0.0311105877244265,0.00920241362027883
