"","npar","Sum Sq","Mean Sq","F value","pValue"
"hAmbi",1,397.725420339011,397.725420339011,1895.98482425777,0
"zAge",1,23.6805341032483,23.6805341032483,112.886758034746,0
"E4",1,0.320993191497274,0.320993191497274,1.5301969364949,0.216099071690788
"hAmbi:zAge",1,1.84338301401584,1.84338301401584,8.78753542303006,0.00303694142011068
"hAmbi:E4",1,0.175746082332391,0.175746082332391,0.83779383460315,0.360040792679501
"zAge:E4",1,2.71732550118701,2.71732550118701,12.9536802259905,0.00032015256539708
"hAmbi:zAge:E4",1,0.0862350609592664,0.0862350609592664,0.411088551388919,0.521425701156454
