"","name","post_mean","post_medi","post_025","post_975"
"50%","E34_vs_E33",0.100653596903136,0.100024673725687,-0.0663750910964198,0.268147096628575
"50%1","E44_vs_E34",-0.215502849406239,-0.215286308644165,-0.517400666422143,0.0849194497480089
"50%2","E44_vs_E33",-0.114849252503102,-0.114448939363285,-0.417446258520901,0.185217228755307
"50%3","E33_HmL",0.296097556776576,0.296098585979926,0.277402524934056,0.314782542770897
"50%4","E34_HmL",0.30925829989265,0.30926980204321,0.289995061396329,0.32840127825373
"50%5","E44_HmL",0.318264860024254,0.31829384049849,0.273333535501079,0.363145873874117
"50%6","E34HmL_vs_E33HmL",0.0131607431160743,0.0131674525974035,-0.0136852700839339,0.0400049195987785
"50%7","E44HmL_vs_E34HmL",0.00900656013160379,0.00907231606111166,-0.0397538893883854,0.0578152018202822
"50%8","E44HmL_vs_E33HmL",0.022167303247678,0.0223330202577059,-0.0268152707640853,0.0708448618061475
