"","name","post_mean","post_medi","post_025","post_975"
"50%","Ambi",0.605197327591951,0.605219765786573,0.579763790094515,0.630610452215285
"50%1","E4",0.0604472342987102,0.0598808146312758,-0.0984747537615079,0.21910481822663
"50%2","AmbiE4",0.0129452039235895,0.0129261698316417,-0.0125776825658193,0.0383481782467947
"50%3","Age",0.495084839751341,0.495280311903581,0.335010096890619,0.654937069442363
"50%4","AmbiAge",0.0405674496105134,0.0405535109711445,0.0152520854781732,0.0657367828841866
"50%5","E4Age",0.175117190886649,0.175803988376881,0.0141629618272837,0.332418949455075
"50%6","AmbiE4Age",-0.00900880038595642,-0.00898831223129426,-0.0342962155408372,0.0162348318086864
