,npar,Sum Sq,Mean Sq,F value,pValue
hAmbi,1,140.8987819,140.8987819,140.8987819,0
zAge,1,10.85697476,10.85697476,10.85697476,0.000986067
E4,1,0.02872544,0.02872544,0.02872544,0.865416351
hAmbi:zAge,1,0.12496578,0.12496578,0.12496578,0.723713861
hAmbi:E4,1,2.68696327,2.68696327,2.68696327,0.101189221
zAge:E4,1,0.29871908,0.29871908,0.29871908,0.584693055
hAmbi:zAge:E4,1,2.23284109,2.23284109,2.23284109,0.135122025
