,npar,Sum Sq,Mean Sq,F value,pValue
hAmbi,1,138.0278204,138.0278204,138.0278204,0
zAge,1,11.1064185,11.1064185,11.1064185,0.000861957
fDose,2,7.4969894,3.7484947,3.7484947,0.023570811
hAmbi:zAge,1,0.1273288,0.1273288,0.1273288,0.721221908
hAmbi:fDose,2,2.7174608,1.3587304,1.3587304,0.257012122
zAge:fDose,2,1.0643818,0.5321909,0.5321909,0.58732567
hAmbi:zAge:fDose,2,3.234501,1.6172505,1.6172505,0.198471227
