"","npar","Sum Sq","Mean Sq","F value","pValue"
"hAmbi",1,140.898797901111,140.898797901111,140.898797901111,0
"zAge",1,10.8570458590558,10.8570458590558,10.8570458590558,0.0010405848976176
"E4",1,0.0287272391289512,0.0287272391289512,0.0287272391289512,0.865465911829243
"hAmbi:zAge",1,0.124979511476727,0.124979511476727,0.124979511476727,0.723816088817791
"hAmbi:E4",1,2.68694208090098,2.68694208090098,2.68694208090098,0.101683559504024
"zAge:E4",1,0.298712212821928,0.298712212821928,0.298712212821928,0.584888462013669
"hAmbi:zAge:E4",1,2.23294373535308,2.23294373535308,2.23294373535308,0.135607467052039
