"","name","post_mean","post_medi","post_025","post_975"
"50%","Ambi",-3.23521827442208,-3.23012264182727,-3.77377253825958,-2.72347669910433
"50%1","E4",0.23373478921916,0.227441847660896,-0.48555017579484,0.979749589044186
"50%2","AmbiE4",-0.318655505268785,-0.314029445977646,-0.801267398293277,0.13645264069754
"50%3","Age",-1.07953057042978,-1.07820697473303,-1.89045735302726,-0.280637470006699
"50%4","AmbiAge",-0.0527382453736194,-0.0558289020378128,-0.586609619952901,0.496361877965359
"50%5","E4Age",0.326691491211277,0.322946522252238,-0.405469235654293,1.08734034136109
"50%6","AmbiE4Age",-0.288068457355538,-0.282282634779967,-0.785059876487278,0.178559454384847
