"","name","post_mean","post_medi","post_025","post_975"
"50%","Ambi",-4.9213562883959,-4.91374598243822,-5.83121990812972,-4.05151528179564
"50%1","E4",0.967546680962855,0.964112458967278,0.0738425293230667,1.89531572393068
"50%2","AmbiE4",0.408738130652991,0.402767974181463,-0.175173721961395,1.01960119208758
"50%3","Age",-2.55716684138757,-2.53754559580575,-4.55957605547876,-0.672514688963285
"50%4","AmbiAge",-0.314518916725519,-0.31068647036919,-1.3127403985252,0.670464897251805
"50%5","E4Age",0.462835329378514,0.4576431877549,-0.487298603370896,1.45069111906594
"50%6","AmbiE4Age",0.426017587502716,0.410505494065982,-0.264677389445034,1.20028939397324
