"","name","post_mean","post_medi","post_025","post_975"
"50%","Ambi",-3.15963154955882,-3.15497385546652,-3.71044854980069,-2.63531015059726
"50%1","E4",-0.147008315606046,-0.148573201551541,-0.701520801323606,0.412257679132238
"50%2","AmbiE4",-0.16113483556268,-0.159794309731804,-0.516238470171402,0.187841037993718
"50%3","Age",-1.10016340395101,-1.09629515694704,-1.9175807797537,-0.295895626580181
"50%4","AmbiAge",0.0375430557067861,0.0337729644127104,-0.488398634352856,0.58085779270918
"50%5","E4Age",0.189304128997398,0.186670690068891,-0.39940315150991,0.785921401172505
"50%6","AmbiE4Age",-0.25552380941131,-0.25248066788189,-0.649518685735217,0.119514971064954
